"RUA";"BAIRRO";"CIDADE";"CEP";"LATITUDE";"LONGITUDE"
" Rua Maranhão";" Balneário Riviera";" Americana/SP";"13476-755";-22.746247;-47.247821
" Avenida Olímpica Lionello Ravera";" Barroca";" Americana/SP";"13475-080";-22.746225;-47.327648
" Rua Armando Dadona";" Bosque dos Ipês";" Americana/SP";"13475-712";-22.717569;-47.25887
" Rua Cinco";" Bosque dos Ipês";" Americana/SP";"13475-710";-22.742973;-47.285333
" Rua João Miguel Homsi";" Bosque dos Ipês";" Americana/SP";"13475-701";-22.732688;-47.263641
" Rua Carajás";" Brieds";" Americana/SP";"13466-180";-22.751397;-47.333959
" Praça Doutor João de Castro Gonçalves";" Campo Limpo";" Americana/SP";"13477-029";-22.73779;-47.318857
" Caminho da Servidão";" Carioba";" Americana/SP";"13472-721";-22.713898;-47.33104
" Praça Caetano Cecchino";" Cechino";" Americana/SP";"13465-739";-22.745815;-47.351389
" Praça Basílio Rangel";" Centro";" Americana/SP";"13465-519";-22.738101;-47.339567
" Praça Francisco Furlan";" Centro";" Americana/SP";"13465-529";-22.742523;-47.378044
" Praça Parque Ideal";" Centro";" Americana/SP";"13465-259";-22.735355;-47.352245
" Praça Wanda Hansen Martins";" Centro";" Americana/SP";"13465-499";-22.735829;-47.356531
" Avenida Comendador Thomaz Fortunato";" Chácara Lucília";" Americana/SP";"13475-413";-22.718411;-47.283847
" Praça da Constituição Municipal";" Chácara Machadinho II";" Americana/SP";"13478-249";-22.73803;-47.336597
" Rua Maria do Carmo Santos Carvalho";" Chácara Machado";" Americana/SP";"13476-151";-22.732215;-47.32317
" Praça Gilberto A. Cremasco";" Chácara Rodrigues";" Americana/SP";"13465-439";-22.738437;-47.342573
" Avenida Comendador Thomaz Fortunato";" Chácaras Alto da Represa";" Americana/SP";"13475-360";-22.714539;-47.282569
" Praça Guilherme de Assumpção";" Cidade Jardim II";" Americana/SP";"13467-189";-22.744069;-47.345353
" Rua Dois";" Cidade Jardim II";" Americana/SP";"13467-211";-22.774793;-47.333924
" Rua Quatro";" Cidade Jardim II";" Americana/SP";"13467-213";-22.777699;-47.360155
" Rua Um";" Cidade Jardim II";" Americana/SP";"13467-210";-22.764233;-47.345077
" Avenida Bandeirantes";" Fazenda Machadinho";" Americana/SP";"13478-259";-22.748064;-47.322825
" Rua Carmella Canciano";" Fazenda Santa Lúcia";" Americana/SP";"13476-203";-22.743749;-47.249725
" Caminho H";" Iate Clube de Campinas";" Americana/SP";"13475-626";-22.731018;-47.278053
" Rua F";" Iate Clube de Campinas";" Americana/SP";"13475-624";-22.737656;-47.251773
" Praça Jaime Antas de Abreu";" Jardim América II";" Americana/SP";"13477-179";-22.744581;-47.343841
" Rua Sevilha";" Jardim Bertoni";" Americana/SP";"13478-758";-22.735029;-47.317456
" Avenida Bandeirantes";" Jardim Colina";" Americana/SP";"13478-294";-22.743188;-47.326003
" Avenida Luiz Bassette";" Jardim da Balsa II";" Americana/SP";"13470-710";-22.724002;-47.3758
" Rua da Restinga";" Jardim da Mata";" Americana/SP";"13476-414";-22.733624;-47.346626
